RA	DEC	Name	Bensby	Joyce_age	RA_h	RA_m	RA_sec	DEC_d	DEC_m	DEC_s	Teff	error_Teff	log(g)	error_log(g)	[Fe/H]	error_[Fe/H]	Mass	lower_mass_limit	upper_mass_limit	Age_(gyr)	lower_age_limit	upper_age_limit	microlense_Teff	[Mg/Fe]	error_[Mg/Fe]	[Si/Fe]	error_[Si/Fe]	[Ca/Fe]	error_[Ca/Fe]	[Ti/Fe]	error_[Ti/Fe]
272.22075	-27.26781	OGLE-2014-BLG-0953S	6.20	13.43	18	8	52.98	-27	16	4.10	5447	109	3.90	0.20	-0.13	0.12	0.94	0.94	1.27	6.20	4.60	12.30	5674	0.26	0.10	0.19	0.10	0.15	0.11	0.06	0.09
274.22338	-25.52528	OGLE-2014-BLG-0987S	10.10	13.38	18	16	53.61	-25	31	31.00	5324	126	4.00	0.15	0.23	0.16	0.99	0.96	1.21	10.10	6.00	12.80	5540	0.17	0.15	0.04	0.15	-0.02	0.13	0.03	0.12
271.48154	-29.68231	OGLE-2014-BLG-1122S	14.60	16.88	18	5	55.57	-29	40	56.30	5552	63	4.20	0.12	-0.32	0.06	0.84	0.82	0.89	14.60	9.30	99.90	5978	0.31	0.08	0.12	0.05	0.18	0.10	0.26	0.07
268.92638	-31.89286	OGLE-2014-BLG-1370S	11.60	14.08	17	55	42.33	-31	53	34.30	5272	111	4.10	0.16	0.43	0.29	0.95	0.93	1.14	11.60	7.20	13.30	5478	0.10	0.26	0.07	0.21	0.00	0.21	0.04	0.07
273.69842	-26.41081	OGLE-2014-BLG-1418S	8.30	10.1	18	14	47.62	-26	24	38.90	5481	85	4.10	0.12	0.44	0.14	1.06	1.01	1.18	8.30	6.20	10.70	5450	0.11	0.16	0.08	0.10	-0.01	0.12	0.03	0.06
269.03142	-30.95361	OGLE-2014-BLG-1469S	7.90	12.72	17	56	7.54	-30	57	13.00	5517	80	3.80	0.14	-0.70	0.08	0.93	0.89	1.15	7.90	5.00	12.20	5679	0.43	0.07	0.22	0.07	0.31	0.09	0.29	0.09
268.99783	-31.27661	OGLE-2014-BLG-2040S	6.40	8.9	17	55	59.48	-31	16	35.80	5731	151	4.10	0.24	0.19	0.17	1.06	0.97	1.25	6.40	4.10	9.80	9999	0.13	0.15	0.10	0.12	-0.04	0.14	-0.03	0.07
268.87788	-27.96014	OGLE-2015-BLG-0078S	4.30	10.25	17	55	30.69	-27	57	36.50	5068	106	3.10	0.23	-0.55	0.15	1.04	0.95	1.51	4.30	2.70	11.60	4366	0.34	0.14	0.19	0.13	0.31	0.12	0.37	0.10
272.73704	-25.02719	MOA-2015-BLG-111S	6.60	12.15	18	10	56.89	-25	1	37.88	5379	100	3.90	0.14	0.07	0.14	1.05	0.99	1.28	6.60	4.80	11.70	5364	0.14	0.16	0.09	0.11	0.06	0.20	-0.04	0.10
265.91054	-35.08669	OGLE-2015-BLG-0159S	3.70	7.13	17	43	38.53	-35	5	12.10	5479	83	3.80	0.14	0.36	0.13	1.26	1.15	1.52	3.70	3.10	7.30	9999	0.10	0.13	0.10	0.10	0.02	0.11	-0.01	0.10
271.32471	-27.93700	MOA-2010-BLG-037S	4.20	5.88	18	5	17.93	-27	56	13.21	5732	109	3.90	0.20	0.55	0.20	1.29	1.16	1.48	4.20	3.10	6.20	5478	0.19	0.17	0.10	0.12	-0.03	0.07	0.14	0.11
