H Yields: 1aSNe (James Keegans)
H Prepared by: Thomas Trueman (October, 2021)
&Isotopes  &Z=0.1     &Z=0.05    &Z=0.02    &Z=0.014   &Z=0.01    &Z=0.005   &Z=0.002   &Z=0.001   &Z=0.0001  &Z=1e-05   &Z=1e-06   &Z=1e-07   &Z=1e-30  
&Mo-94     &1.85e-18  &1.37e-18  &3.02e-19  &1.78e-19  &1.15e-19  &5.2e-20   &9.87e-21  &3.06e-21  &4.8e-21   &5.08e-21  &4.73e-21  &4.7e-21   &4.71e-21 
&Mo-95     &5.58e-21  &7.39e-21  &3.12e-21  &2.38e-21  &2e-21     &1.81e-21  &5.25e-21  &9.77e-21  &1.37e-20  &1.37e-20  &1.28e-20  &1.27e-20  &1.28e-20 
&Mo-96     &6.71e-31  &2.02e-31  &7.33e-35  &6.86e-35  &6.39e-35  &6.09e-35  &5.79e-35  &5.66e-35  &5.71e-35  &5.65e-35  &5.41e-35  &5.54e-35  &5.54e-35 
&Mo-97     &8.62e-23  &1.64e-22  &7.9e-23   &6.2e-23   &5.36e-23  &5.11e-23  &9.55e-23  &1.55e-22  &2.05e-22  &2.08e-22  &1.92e-22  &1.9e-22   &1.91e-22 
&Mo-98     &4.92e-37  &1.03e-37  &3.81e-38  &9.42e-38  &5.78e-38  &2.02e-38  &9.11e-39  &1.2e-38   &2.49e-38  &9.86e-38  &4.24e-38  &4.24e-38  &1.09e-37 
&Mo-100    &4.82e-42  &9.07e-43  &3.3e-43   &2.78e-43  &2.46e-43  &2.11e-43  &1.89e-43  &1.72e-43  &1.82e-43  &1.81e-43  &1.67e-43  &1.67e-43  &1.67e-43 
&Ru-96     &1.24e-20  &3.47e-20  &2.84e-20  &2.68e-20  &2.71e-20  &3.3e-20   &5.07e-20  &5.06e-20  &4.95e-20  &4.9e-20   &4.54e-20  &4.51e-20  &4.52e-20 
&Ru-98     &1.34e-23  &1.09e-23  &2.67e-24  &1.68e-24  &1.2e-24   &8.59e-25  &1.02e-23  &9.49e-23  &3.06e-22  &3.3e-22   &3.03e-22  &3e-22     &3.01e-22 
&Ru-99     &1.1e-26   &1.33e-26  &7.92e-27  &7.88e-27  &8.99e-27  &1.85e-26  &4.14e-25  &3.84e-24  &1.28e-23  &1.38e-23  &1.26e-23  &1.25e-23  &1.26e-23 
&Ru-100    &2.91e-27  &9.54e-27  &8.55e-27  &8.51e-27  &9.19e-27  &1.44e-26  &5.51e-26  &1.7e-25   &3.23e-25  &3.32e-25  &3.02e-25  &3e-25     &3.01e-25 
&Ru-101    &2.79e-30  &1.13e-29  &4.45e-30  &2.85e-30  &1.84e-30  &1.39e-30  &3.91e-30  &3.36e-29  &2.02e-28  &2.21e-28  &1.93e-28  &1.92e-28  &1.93e-28 
&Ru-102    &3.25e-37  &2.59e-37  &1.5e-37   &1.52e-37  &1.09e-37  &5.54e-38  &7.26e-38  &2.9e-38   &2.96e-38  &6.12e-38  &4.12e-38  &3.48e-38  &6.92e-38 
&Ru-104    &3.35e-44  &6.41e-45  &2.36e-45  &1.99e-45  &1.76e-45  &1.51e-45  &1.36e-45  &1.24e-45  &1.3e-45   &1.3e-45   &1.2e-45   &1.2e-45   &1.2e-45  
&Rh-103    &1.43e-35  &1.17e-35  &1.08e-35  &9.95e-36  &9.42e-36  &8.71e-36  &9.48e-36  &7.69e-36  &8.54e-36  &9.61e-36  &7.06e-36  &7.53e-36  &8.02e-36 
